Date,DBC,EFA,EMB,GLD,SPY,TLT,VNQ,XLF,XLK,XLV
2016-02-19,10.87121295928955,40.697818756103516,66.58391571044922,117.58000183105469,163.20822143554688,100.94156646728516,51.16839599609375,14.19654655456543,36.38439178466797,56.05641555786133
2016-02-22,11.037252426147461,41.158226013183594,66.91048431396484,115.48999786376953,165.57125854492188,100.88758850097656,51.65681457519531,14.41985034942627,36.86759567260742,56.85563659667969
2016-02-23,10.888689994812012,40.486480712890625,66.89794921875,117.22000122070312,163.480224609375,101.29595184326172,51.521148681640625,14.162715911865234,36.28594207763672,56.430503845214844
2016-02-24,11.028512001037598,40.34307098388672,66.91048431396484,117.61000061035156,164.228271484375,101.09563446044922,51.4600944519043,14.128881454467773,36.563358306884766,56.617549896240234
2016-02-25,11.019774436950684,40.82612609863281,67.14282989501953,117.91999816894531,166.2173614501953,101.45773315429688,52.51153564453125,14.325106620788574,37.01972961425781,57.32325744628906
2016-02-26,11.002296447753906,40.720455169677734,67.25590515136719,117.11000061035156,165.83489990234375,100.47923278808594,52.24019241333008,14.42661190032959,36.921295166015625,57.221248626708984
2016-02-29,11.142118453979492,40.47893524169922,67.3564224243164,118.63999938964844,164.5342559814453,100.9184799194336,52.03668212890625,14.270981788635254,36.66179656982422,56.31147003173828
2016-03-01,11.150857925415039,41.535621643066406,68.14401245117188,117.7699966430664,168.40194702148438,99.14136505126953,53.501949310302734,14.751415252685547,37.75349807739258,57.51881408691406
2016-03-02,11.212029457092285,41.82243347167969,67.98004150390625,118.68000030517578,169.15850830078125,99.55052185058594,53.88859558105469,14.913813591003418,37.860877990722656,57.612361907958984
2016-03-03,11.273201942443848,42.23001480102539,68.0620346069336,120.7300033569336,169.82150268554688,99.91331481933594,54.17352294921875,15.015311241149902,37.860877990722656,57.4508056640625
2016-03-04,11.49167537689209,42.539485931396484,68.22598266601562,120.54000091552734,170.37405395507812,99.2726058959961,54.1802978515625,15.076217651367188,37.95931625366211,57.31475067138672
2016-03-07,11.701410293579102,42.48664855957031,68.3584213256836,121.13999938964844,170.5100860595703,99.2417221069336,54.322750091552734,15.069448471069336,37.726654052734375,57.773887634277344
2016-03-08,11.544109344482422,42.071510314941406,68.08726501464844,120.58000183105469,168.64849853515625,100.33792877197266,53.766510009765625,14.825849533081055,37.49399948120117,57.06819534301758
2016-03-09,11.718887329101562,42.23001480102539,68.251220703125,119.58000183105469,169.48153686523438,99.72806549072266,54.06498718261719,14.846147537231445,37.816139221191406,57.17020034790039
2016-03-10,11.701410293579102,42.16209411621094,68.2134017944336,121.5,169.61753845214844,99.31896209716797,53.868247985839844,14.832616806030273,37.780338287353516,57.20423126220703
2016-03-11,11.745102882385254,43.264068603515625,68.63591003417969,119.41000366210938,172.3546905517578,98.31544494628906,55.07571792602539,15.218318939208984,38.36198806762695,58.31804275512695
2016-03-14,11.640235900878906,43.17349624633789,68.48455810546875,117.87000274658203,172.1337127685547,98.62417602539062,55.082523345947266,15.170954704284668,38.40673828125,58.07149887084961
2016-03-15,11.544109344482422,42.76591873168945,68.09986877441406,117.95999908447266,171.85317993164062,98.71678161621094,55.109642028808594,15.164182662963867,38.54993438720703,57.17020034790039
2016-03-16,11.745102882385254,43.1432991027832,68.7746353149414,120.58999633789062,172.8477020263672,99.01014709472656,55.77444076538086,15.130355834960938,38.99732971191406,57.0341911315918
2016-03-17,11.876188278198242,43.475406646728516,69.31066131591797,120.12999725341797,173.94424438476562,99.4193115234375,56.56132888793945,15.31304931640625,39.14051055908203,56.371002197265625
2016-03-18,11.867448806762695,43.39992141723633,69.367431640625,119.80000305175781,174.62779235839844,99.62771606445312,56.31711196899414,15.448988914489746,39.203460693359375,57.033992767333984
2016-03-21,11.902403831481934,43.33200454711914,69.62593841552734,118.95999908447266,174.87554931640625,98.86351013183594,55.80883026123047,15.421796798706055,39.33837127685547,57.366783142089844
2016-03-22,11.98979377746582,43.25652313232422,69.49354553222656,119.30999755859375,174.7816162109375,98.84033966064453,55.80883026123047,15.374222755432129,39.34735870361328,57.93849563598633
2016-03-23,11.73636531829834,42.81874084472656,69.05841064453125,116.61000061035156,173.6281280517578,99.95965576171875,55.50700759887695,15.25867748260498,39.12252426147461,57.528907775878906
2016-03-24,11.666454315185547,42.53194046020508,68.89447021484375,116.33000183105469,173.5512237548828,99.998291015625,55.527591705322266,15.163525581359863,39.23044204711914,57.503326416015625
2016-03-28,11.701410293579102,42.788551330566406,69.02691650390625,116.5999984741211,173.65379333496094,100.12948608398438,56.0283317565918,15.211100578308105,39.13151931762695,57.341190338134766
2016-03-29,11.675192832946777,43.24897384643555,69.38634490966797,118.76000213623047,175.2600860595703,101.17930603027344,57.242462158203125,15.238289833068848,39.74308395385742,58.00675964355469
2016-03-30,11.631497383117676,43.57352828979492,69.45569610595703,117.0999984741211,176.02906799316406,100.11407470703125,57.132720947265625,15.32664680480957,39.9769172668457,58.01529312133789
2016-03-31,11.614020347595215,43.1432991027832,69.5881118774414,117.63999938964844,175.6018524169922,100.82423400878906,57.4825553894043,15.292664527893066,39.895973205566406,57.83607864379883
2016-04-01,11.413025856018066,42.68288803100586,69.77110290527344,116.93000030517578,176.79808044433594,101.08723449707031,57.40708923339844,15.428597450256348,40.2017707824707,58.49313735961914
2016-04-04,11.255724906921387,42.592308044433594,69.75212097167969,116.1500015258789,176.2255859375,101.14912414550781,57.32477951049805,15.353827476501465,40.04886245727539,59.192832946777344
2016-04-05,11.229508399963379,41.75450897216797,69.56847381591797,117.66000366210938,174.46546936035156,102.25531768798828,56.947513580322266,15.136333465576172,39.66215133666992,58.42485046386719
2016-04-06,11.351851463317871,42.433815002441406,69.73309326171875,116.94000244140625,176.37081909179688,101.51271057128906,57.084693908691406,15.217902183532715,40.04886245727539,59.99492645263672
2016-04-07,11.316896438598633,41.81488800048828,69.44820404052734,118.61000061035156,174.26034545898438,102.76582336425781,56.72800064086914,14.932430267333984,39.47327423095703,59.3379020690918
2016-04-08,11.587803840637207,42.61495590209961,69.66979217529297,118.43000030517578,174.73031616210938,102.1160659790039,57.043540954589844,14.986806869506836,39.47327423095703,59.175758361816406
2016-04-11,11.675192832946777,42.63758850097656,69.97998046875,120.02999877929688,174.32020568847656,101.98456573486328,56.92693328857422,15.047983169555664,39.365352630615234,58.72351837158203
2016-04-12,11.928620338439941,43.27162170410156,70.07496643066406,120.05000305175781,175.9435577392578,101.2806396484375,57.33849334716797,15.238289833068848,39.63515853881836,59.20134353637695
